ADAPTIVE_START_DAY,ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,POSITION_SIZE,score
501,130,2.1,3.75,10000,45.46299949747576
501,130,2.1,4.0,10000,45.46299949747576
501,130,1.8000000000000003,3.75,10000,45.43855895675591
501,130,1.8000000000000003,4.0,10000,45.43855895675591
501,130,2.1,3.5,10000,45.034157965440045
501,130,1.8000000000000003,3.5,10000,45.02612891092686
501,130,2.0,4.0,10000,45.01091386463598
501,130,2.0,3.75,10000,45.01091386463598
501,130,2.0,3.5,10000,44.60113583497407
501,130,1.7000000000000002,4.0,10000,44.15206818186441
501,130,1.7000000000000002,3.75,10000,44.15206818186441
501,130,1.7000000000000002,3.5,10000,43.743226657405145
501,130,1.9000000000000001,4.0,10000,43.39199728615972
501,130,1.9000000000000001,3.75,10000,43.39199728615972
501,130,1.6,3.75,10000,43.32982974146785
501,130,1.6,4.0,10000,43.32982974146785
501,130,1.8000000000000003,3.25,10000,43.1556166690568
501,130,2.1,3.25,10000,43.09709630899512
501,130,1.9000000000000001,3.5,10000,42.98154184290816
501,130,1.6,3.5,10000,42.93471085027973
501,130,1.8000000000000003,3.0,10000,42.68793384996041
501,130,2.0,3.25,10000,42.664355816626966
501,130,2.2,4.0,10000,42.433194166849574
501,130,2.2,3.75,10000,42.433194166849574
501,130,2.2,3.5,10000,42.006805837256564
501,130,1.7000000000000002,3.25,10000,41.87468852871213
501,130,1.8000000000000003,2.75,10000,41.6929538525964
501,130,1.7000000000000002,3.0,10000,41.308812147053416
501,130,1.9000000000000001,3.25,10000,41.08212018534411
501,130,1.6,3.25,10000,41.069782951589644
501,130,1.5000000000000002,3.75,10000,40.889911001716726
501,130,1.5000000000000002,4.0,10000,40.889911001716726
501,130,2.1,3.0,10000,40.705683018411115
501,130,1.9000000000000001,3.0,10000,40.49873371492861
501,130,1.5000000000000002,3.5,10000,40.49355789781381
501,130,1.6,3.0,10000,40.486903985743865
501,130,1.7000000000000002,2.75,10000,40.395265144417436
501,130,2.0,3.0,10000,40.24778279502851
501,130,2.2,3.25,10000,40.147753406879175
501,130,1.4000000000000001,4.0,10000,39.868039695160654
501,130,1.4000000000000001,3.75,10000,39.868039695160654
501,130,1.6,2.75,10000,39.55792973853467
501,130,2.1,2.75,10000,39.53352148841977
501,130,1.9000000000000001,2.75,10000,39.50953181263186
501,130,1.4000000000000001,3.5,10000,39.47590590993003
501,130,2.0,2.75,10000,39.30053902386995
