TRADING_START_DAY,OU_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,POSITION_SIZE,score
600,250,0.5,3.5,10000,80.90056126009111
600,250,0.5,3.0,10000,80.90056126009111
600,250,0.5,4.0,10000,80.90056126009111
600,250,0.5,2.5,10000,80.19120103477798
600,150,0.5,3.0,10000,77.91785295648438
600,150,0.5,3.5,10000,77.91785295648438
600,150,0.5,4.0,10000,77.91785295648438
600,150,0.5,2.5,10000,75.68726051304444
600,175,0.75,3.0,10000,73.15789090406524
600,175,0.75,3.5,10000,73.15789090406524
600,175,0.75,4.0,10000,73.15789090406524
600,200,0.5,4.0,10000,70.37688892669266
600,200,0.5,3.5,10000,70.37688892669266
600,200,0.5,3.0,10000,70.37688892669266
600,175,0.75,2.5,10000,69.8176056099731
600,225,0.75,3.0,10000,69.75621886052997
600,225,0.75,4.0,10000,69.75621886052997
600,225,0.75,3.5,10000,69.75621886052997
600,250,0.25,3.0,10000,69.75497936137597
600,250,0.25,4.0,10000,69.75497936137597
600,250,0.25,3.5,10000,69.75497936137597
600,250,0.25,2.5,10000,69.02124024577117
550,150,0.5,3.5,10000,68.98259133648233
550,150,0.5,4.0,10000,68.98259133648233
550,150,0.5,3.0,10000,68.81643399680351
600,225,0.5,3.5,10000,68.52144008147141
600,225,0.5,4.0,10000,68.52144008147141
600,225,0.5,3.0,10000,68.52144008147141
600,125,0.75,3.0,10000,68.1708226435668
600,175,0.5,4.0,10000,68.11250733198887
600,175,0.5,3.0,10000,68.11250733198887
600,175,0.5,3.5,10000,68.11250733198887
600,250,1.0,3.5,10000,68.09450030296422
600,250,1.0,3.0,10000,68.09450030296422
600,250,1.0,4.0,10000,68.09450030296422
600,125,0.75,3.5,10000,68.07920506570406
600,125,0.75,4.0,10000,68.07920506570406
600,225,0.75,2.5,10000,68.01918433915611
600,250,1.0,2.5,10000,67.37832597965408
600,250,1.25,4.0,10000,67.37289374966193
600,250,1.25,3.5,10000,67.37289374966193
600,250,1.25,3.0,10000,67.37289374966193
600,225,0.25,3.5,10000,67.34064075287483
600,225,0.25,4.0,10000,67.34064075287483
600,225,0.25,3.0,10000,67.34064075287483
600,225,0.5,2.5,10000,66.85258511888505
600,200,0.5,2.5,10000,66.81645795612698
600,250,1.25,2.5,10000,66.66745569306096
600,150,0.25,3.5,10000,66.4941030119401
600,150,0.25,4.0,10000,66.4941030119401
600,150,0.25,3.0,10000,66.4941030119401
600,175,0.25,4.0,10000,65.98509848132448
600,175,0.25,3.5,10000,65.98509848132448
600,175,0.25,3.0,10000,65.98509848132448
600,225,0.25,2.5,10000,65.7690485969784
600,200,0.75,4.0,10000,65.6039629746804
