ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,POSITION_SIZE,score
120,1.75,4.0,10000,23.99809444160084
120,1.75,3.5,10000,23.99809444160084
150,1.75,4.0,10000,21.62227476794861
120,1.75,3.0,10000,21.546824679882008
150,1.75,3.5,10000,21.297851362652793
120,1.5,3.5,10000,20.52390405543401
120,1.5,4.0,10000,20.52390405543401
150,1.75,3.0,10000,19.652429809794498
120,1.5,3.0,10000,18.422474905356538
150,2.0,4.0,10000,17.30233239458162
150,2.0,3.5,10000,16.985448794335067
120,1.25,4.0,10000,16.491618504709592
120,1.25,3.5,10000,16.491618504709592
120,2.0,3.5,10000,16.33036947219505
120,2.0,4.0,10000,16.33036947219505
150,2.25,4.0,10000,16.330112072278897
150,2.25,3.5,10000,16.01674187436934
120,1.75,2.5,10000,15.760074220410871
120,2.25,4.0,10000,15.56866674556716
120,2.25,3.5,10000,15.56866674556716
150,2.0,3.0,10000,15.27736922269359
180,2.0,4.0,10000,15.033774487831632
150,1.5,4.0,10000,15.004634081023354
150,2.5,4.0,10000,14.980738765701801
180,2.0,3.5,10000,14.841692161403643
150,1.5,3.5,10000,14.682462841464485
150,2.5,3.5,10000,14.666922241669575
180,2.0,3.0,10000,14.398195379113833
120,1.25,3.0,10000,14.379932948009547
150,2.25,3.0,10000,14.351102338770179
120,2.0,3.0,10000,13.92175774188808
150,1.5,3.0,10000,13.119409073768992
120,0.5,4.0,10000,12.526177308836239
120,0.5,3.5,10000,12.526177308836239
120,1.5,2.5,10000,12.463505444991021
150,0.75,4.0,10000,12.19925409728743
150,0.75,3.5,10000,11.865561667370748
120,2.25,3.0,10000,11.815272783523085
150,1.75,2.5,10000,11.356893958029769
120,2.5,4.0,10000,11.185110164978166
120,2.5,3.5,10000,11.185110164978166
150,2.5,3.0,10000,10.862818431198036
90,1.75,4.0,10000,10.846019617543575
90,1.75,3.5,10000,10.444530707982025
120,0.5,3.0,10000,10.296891821446131
150,0.75,3.0,10000,10.194684874738009
180,1.75,4.0,10000,10.191381352885074
180,1.75,3.5,10000,9.985063853330107
120,2.0,2.5,10000,9.886903394401546
180,1.75,3.0,10000,9.58004670132263
90,2.0,4.0,10000,9.477341557265888
90,2.0,3.5,10000,9.08249307696834
180,2.0,2.5,10000,8.927574394156025
90,1.5,4.0,10000,8.92396460535604
120,1.25,2.5,10000,8.540769477129182
90,1.5,3.5,10000,8.497620123535697
90,1.25,4.0,10000,8.445857802812363
