LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,score
150,0.75,3.0,-20.88043392989013
150,0.25,3.0,-23.60404715838256
150,0.5,3.0,-24.854397390711902
150,1.0,3.0,-25.121392049935032
120,0.25,3.0,-25.91763916529453
120,0.5,3.0,-28.901295603844893
90,0.25,3.0,-29.25133103843862
90,0.5,3.0,-29.992375597387145
90,0.75,3.0,-30.12061599830154
150,0.75,2.5,-30.348169587577697
120,0.75,3.0,-32.60455118755622
120,1.0,3.0,-32.92256463371338
150,0.25,2.5,-33.42516750748766
150,1.0,2.5,-34.27273707956644
150,0.75,2.0,-34.31609950681809
150,0.5,2.5,-34.59472615078954
120,0.25,2.5,-36.2718720489487
150,0.25,2.0,-37.369307414148764
150,1.0,2.0,-37.957709253240544
150,0.5,2.0,-38.45040351575153
120,0.25,2.0,-39.04224815041964
120,0.5,2.5,-39.24156014026817
90,0.25,2.0,-40.88234226038039
90,0.25,2.5,-41.0285979204625
90,0.5,2.0,-41.59140362177622
90,0.75,2.0,-41.72719480324442
90,0.5,2.5,-41.84297579571555
90,0.75,2.5,-41.995825583326194
120,0.5,2.0,-42.000721735057304
120,0.75,2.5,-42.92172000039138
120,1.0,2.5,-43.32667030599147
90,1.0,3.0,-43.42169323267923
120,0.75,2.0,-46.47220855120441
120,1.0,2.0,-46.9007002706949
60,1.0,3.0,-52.684500353244545
60,0.75,3.0,-53.14074726314285
90,1.0,2.0,-53.183889408188634
60,0.5,3.0,-53.642022865512224
60,0.25,3.0,-54.28286965073471
90,1.0,2.5,-57.10917519667526
60,1.0,2.0,-60.85392255633629
60,0.75,2.0,-61.11746574782484
60,0.5,2.0,-61.571680427516284
60,0.25,2.0,-62.2203438412667
60,1.0,2.5,-65.53926077884948
60,0.75,2.5,-65.72691616648403
60,0.5,2.5,-66.22496056449619
60,0.25,2.5,-66.63415868872089
