ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,score
110,0.75,4.0,64.75936499920267
110,0.75,3.5,64.75936499920267
110,0.75,3.0,62.6464130944861
140,1.5,4.0,62.42765808090936
140,1.5,3.5,62.42765808090936
140,1.5,3.0,61.90455398723672
140,1.75,4.0,61.608689010484596
140,1.75,3.5,61.608689010484596
110,0.5,4.0,61.430927727820816
110,0.5,3.5,61.430927727820816
120,1.5,4.0,61.390992887304044
120,1.5,3.5,61.390992887304044
110,1.5,4.0,61.38122317455073
110,1.5,3.5,61.38122317455073
140,1.75,3.0,61.09496421543703
140,0.75,4.0,60.93556166164664
140,0.75,3.5,60.93556166164664
140,0.75,3.0,60.50949073396515
120,1.5,3.0,60.39320648916336
110,0.5,3.0,59.3426153758641
110,1.5,3.0,59.12389429173996
140,1.5,2.5,59.012711669764386
100,1.75,4.0,58.093084567700245
100,1.75,3.5,58.093084567700245
110,0.75,2.5,57.95729695473099
120,0.5,4.0,57.83602302846015
120,0.5,3.5,57.83602302846015
150,1.5,3.5,57.598459468713145
150,1.5,4.0,57.598459468713145
140,0.75,2.5,57.597308494024325
140,0.25,4.0,57.42714213484492
140,0.25,3.5,57.42714213484492
110,1.75,3.5,57.33768830341345
110,1.75,4.0,57.33768830341345
150,1.75,4.0,57.07153585023293
150,1.75,3.5,57.07153585023293
150,1.5,3.0,57.0679403117826
140,0.25,3.0,56.99478083615523
130,0.75,3.5,56.975718529584285
130,0.75,4.0,56.975718529584285
120,0.5,3.0,56.94829015441226
150,1.75,3.0,56.54196857664505
140,1.75,2.5,56.38261011621671
120,1.25,3.5,56.26245091524273
120,1.25,4.0,56.26245091524273
140,1.0,3.5,56.23533473319693
140,1.0,4.0,56.23533473319693
130,0.75,3.0,56.2017385473029
140,0.5,4.0,56.16860641725688
140,0.5,3.5,56.16860641725688
120,0.75,3.5,56.15743643815583
120,0.75,4.0,56.15743643815583
130,1.5,3.5,56.12613111740673
130,1.5,4.0,56.12613111740673
120,1.75,4.0,55.89348809987382
120,1.75,3.5,55.89348809987382
140,1.0,3.0,55.81643692867508
140,0.5,3.0,55.72890894778684
100,1.75,3.0,55.55456723617152
120,2.0,3.5,55.50568772317306
120,2.0,4.0,55.50568772317306
120,1.25,3.0,55.42858904300695
120,0.75,3.0,55.264689873169225
130,1.5,3.0,55.2451523395411
120,1.5,2.5,55.222271037533524
120,1.0,3.5,55.097246407373184
120,1.0,4.0,55.097246407373184
140,1.25,4.0,54.99976741753029
140,1.25,3.5,54.99976741753029
110,1.75,3.0,54.79601298093009
110,1.25,4.0,54.628314523082835
110,1.25,3.5,54.628314523082835
140,1.25,3.0,54.60106568275818
120,1.75,3.0,54.55367260086827
110,0.5,2.5,54.45319277307771
130,1.75,4.0,54.31624567872919
130,1.75,3.5,54.31624567872919
120,1.0,3.0,54.24710448836922
120,2.0,3.0,54.150567949998226
140,2.0,3.5,54.0696417102739
140,2.0,4.0,54.0696417102739
130,1.0,3.5,54.06403221361932
130,1.0,4.0,54.06403221361932
140,0.25,2.5,53.83003498787592
150,0.5,4.0,53.74485844550816
150,0.5,3.5,53.74485844550816
110,1.5,2.5,53.63354893724759
130,1.0,3.0,53.300397461717026
150,0.5,3.0,53.28489243875481
140,2.0,3.0,53.21883958449858
110,2.0,4.0,53.06604344869744
110,2.0,3.5,53.06604344869744
130,1.75,3.0,53.058075891322645
140,1.0,2.5,52.96649444652101
140,0.5,2.5,52.592092783572376
110,1.25,3.0,52.47044821999368
120,0.5,2.5,52.38444938034148
130,0.25,3.5,52.35407667786119
130,0.25,4.0,52.35407667786119
150,0.75,4.0,52.130962171471914
150,0.75,3.5,52.130962171471914
150,1.0,4.0,51.694957358142446
150,1.0,3.5,51.694957358142446
90,2.0,4.0,51.689779123078615
90,2.0,3.5,51.689779123078615
130,1.25,3.5,51.68207488671755
130,1.25,4.0,51.68207488671755
150,0.75,3.0,51.68141240572357
130,0.25,3.0,51.57069064689437
140,1.25,2.5,51.34967983952119
150,1.0,3.0,51.257578137321616
150,2.0,3.5,51.21775150227946
150,2.0,4.0,51.21775150227946
110,1.0,3.5,51.07152595570214
110,1.0,4.0,51.07152595570214
130,1.25,3.0,50.936723590200344
130,0.5,4.0,50.76515343273412
130,0.5,3.5,50.76515343273412
120,0.75,2.5,50.67152422244807
110,2.0,3.0,50.40795442223231
120,1.25,2.5,50.38321750886472
150,2.0,3.0,50.38185801516063
100,1.75,2.5,50.1508619145673
130,0.5,3.0,49.97531583504935
100,1.5,3.5,49.96642309693035
100,1.5,4.0,49.96642309693035
90,2.0,3.0,49.91425194520208
100,1.25,4.0,49.86169231047286
100,1.25,3.5,49.86169231047286
120,1.0,2.5,49.35314721092231
150,0.25,4.0,49.31734275336824
150,0.25,3.5,49.31734275336824
100,2.0,3.5,49.13952049518612
100,2.0,4.0,49.13952049518612
130,0.75,2.5,49.01659090841529
110,1.0,3.0,48.96546654415842
90,2.0,2.5,48.93343332102393
150,0.25,3.0,48.8782141072786
120,0.25,3.5,48.71722948340111
120,0.25,4.0,48.71722948340111
80,0.75,3.5,48.555452819396535
80,0.75,4.0,48.555452819396535
110,0.25,4.0,48.52620830088235
110,0.25,3.5,48.52620830088235
110,1.75,2.5,48.46416906246185
120,2.0,2.5,48.32870404080816
120,1.75,2.5,48.24271098030229
110,1.25,2.5,48.12274461749438
100,0.75,3.5,48.05881854789459
100,0.75,4.0,48.05881854789459
120,0.25,3.0,47.80899536215989
100,1.5,3.0,47.80280685195514
130,1.5,2.5,47.78637676903124
100,1.25,3.0,47.78565112011574
90,1.75,4.0,47.50369458488707
90,1.75,3.5,47.50369458488707
150,1.5,2.5,46.97453187418204
100,1.0,3.5,46.72694678019827
100,1.0,4.0,46.72694678019827
130,2.0,4.0,46.38383115490548
130,2.0,3.5,46.38383115490548
110,0.25,3.0,46.38299756691412
80,0.75,3.0,46.12420493839373
100,0.75,3.0,46.09082985908804
130,1.0,2.5,45.97179525020781
110,2.25,3.5,45.96230314197494
110,2.25,4.0,45.96230314197494
140,2.0,2.5,45.95225670342185
90,1.75,3.0,45.7820873885789
100,2.0,3.0,45.76184016322244
150,1.75,2.5,45.240721547441666
130,2.0,3.0,45.16551983895239
100,0.5,4.0,45.00195769889211
100,0.5,3.5,45.00195769889211
