ZSCORE_LOOKBACK,ENTRY_THRESHOLD,STOP_LOSS_THRESHOLD,score
150,0.5,4.0,45.953090587902025
150,0.5,3.5,45.52046850934455
130,2.0,4.0,45.011972715226385
130,2.0,3.5,44.602197402905446
130,2.25,4.0,44.44947899241744
140,1.75,3.5,44.255915042473376
140,1.75,4.0,44.255915042473376
130,2.25,3.5,44.02361302438982
150,0.5,3.0,43.54732604478913
130,1.75,4.0,43.12838627346035
130,1.75,3.5,42.72046487372941
150,0.75,4.0,42.493390484094895
150,1.75,4.0,42.26583297483921
140,1.75,3.0,42.16989680112674
150,0.75,3.5,42.062285739224315
150,1.75,3.5,41.84175345148748
130,1.5,4.0,40.89098315263068
130,1.5,3.5,40.4946305033254
140,1.5,3.5,40.45097215755429
140,1.5,4.0,40.45097215755429
130,1.75,3.0,40.3459884350911
130,2.0,3.0,40.25068790499782
150,0.75,3.0,40.1632660533623
150,1.75,3.0,39.96651095236767
130,2.25,3.0,39.7815967205254
140,0.75,4.0,39.47224783055777
140,0.75,3.5,39.47224783055777
150,0.5,2.5,38.7688235711598
140,2.0,4.0,38.633990421454044
140,2.0,3.5,38.633990421454044
120,2.0,4.0,38.5332272670848
140,1.5,3.0,38.323083167367166
130,1.5,3.0,38.20048268664746
120,2.0,3.5,38.1225668265855
130,2.25,2.5,38.04112044440527
150,1.5,4.0,37.76896319662606
150,1.5,3.5,37.353690623948424
140,0.75,3.0,37.21179225622644
120,1.75,4.0,37.05958107674132
140,0.5,4.0,36.800871327753924
140,0.5,3.5,36.800871327753924
130,0.5,4.0,36.77417672043157
120,1.75,3.5,36.651659167435795
140,2.0,3.0,36.56150983365284
130,0.5,3.5,36.380798143053994
120,2.0,3.0,36.18414123634938
130,2.0,2.5,35.64296837046937
130,1.75,2.5,35.60722531200098
140,1.25,3.5,35.42534122284336
140,1.25,4.0,35.42534122284336
150,1.5,3.0,35.40139848442827
150,0.75,2.5,35.22851724520985
150,1.75,2.5,35.156016486600926
120,1.75,3.0,34.71787281933332
140,0.5,3.0,34.54308219299052
130,0.75,4.0,34.182329029359046
140,1.75,2.5,34.08249587530789
130,0.5,3.0,34.06269141876913
130,0.75,3.5,33.78719539074232
150,1.0,4.0,33.74620323529101
110,2.0,4.0,33.59465123892515
110,2.0,3.5,33.59465123892515
150,1.25,4.0,33.58962459123524
150,1.0,3.5,33.32496284824132
120,0.5,4.0,33.23626348446722
140,1.25,3.0,33.18764949043429
150,1.25,3.5,33.16850715898311
140,2.25,4.0,33.05850902566661
140,2.25,3.5,33.05850902566661
130,1.25,4.0,32.90266042947892
120,0.5,3.5,32.8427555015963
90,1.0,3.5,32.80748947589396
90,1.0,4.0,32.80748947589396
130,1.5,2.5,32.8047187926031
80,0.75,4.0,32.72630681255908
130,1.0,4.0,32.60619648440498
120,1.0,4.0,32.57482202189246
130,1.25,3.5,32.50869946932619
120,2.25,4.0,32.456867350879286
120,1.5,4.0,32.38366134014757
80,0.75,3.5,32.31781738624747
80,2.0,4.0,32.30628346618113
130,1.0,3.5,32.216134196992606
120,1.0,3.5,32.18346763954033
120,2.25,3.5,32.03147012889968
100,1.5,3.5,32.02207938551004
100,1.5,4.0,32.02207938551004
120,1.5,3.5,31.991528085092277
80,2.0,3.5,31.900055476484518
150,2.25,4.0,31.59079174224234
130,0.75,3.0,31.545859114708726
80,1.0,4.0,31.471162758548267
150,1.0,3.0,31.438799471327755
150,2.25,3.5,31.181499015848388
150,1.25,3.0,31.176399685823178
110,1.5,3.5,31.165228123293147
110,1.5,4.0,31.165228123293147
80,1.0,3.5,31.065314500297845
100,2.0,3.5,31.04821870662579
100,2.0,4.0,31.04821870662579
120,0.5,3.0,31.019138110765738
140,2.25,3.0,30.81336803046907
150,2.0,4.0,30.76768922239828
70,2.0,4.0,30.706056263613174
150,1.5,2.5,30.64710503678492
120,1.0,3.0,30.40612516690166
150,2.0,3.5,30.364327570571078
140,1.0,3.5,30.353325742087492
140,1.0,4.0,30.353325742087492
90,1.0,3.0,30.344581461940955
70,2.0,3.5,30.25887472932684
130,1.25,3.0,30.202640171996883
120,2.25,3.0,30.165309191351785
90,0.75,3.5,30.127751943117246
90,0.75,4.0,30.127751943117246
