HEDGE_ESTIMATOR,ADAPTIVE_START_DAY,POSITION_SIZE,OPTIMIZATION_TARGET,STATIC_PARAMS.HEDGE_ESTIMATOR,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,STATIC_PARAMS.POSITION_SIZE,STATIC_PARAMS.ADAPTIVE_START_DAY,ADAPTIVE_PARAMS.HEDGE_ESTIMATOR,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.POSITION_SIZE,ADAPTIVE_PARAMS.ADAPTIVE_START_DAY,score
ols,501,10000,STATIC,ols,150,0.5,4.0,10000,501,ols,150,0.5,4.0,10000,501,45.09116057209026
ols,501,10000,STATIC,ols,150,0.5,3.5,10000,501,ols,150,0.5,3.5,10000,501,44.657398225448745
2sls,501,10000,STATIC,2sls,130,1.75,4.0,10000,501,2sls,130,1.75,4.0,10000,501,44.03408052410251
2sls,501,10000,STATIC,2sls,150,0.5,4.0,10000,501,2sls,150,0.5,4.0,10000,501,44.001889165651114
ols,501,10000,STATIC,ols,130,2.0,4.0,10000,501,ols,130,2.0,4.0,10000,501,43.860613432949044
2sls,501,10000,STATIC,2sls,130,2.25,4.0,10000,501,2sls,130,2.25,4.0,10000,501,43.76215110662567
2sls,501,10000,STATIC,2sls,130,1.75,3.5,10000,501,2sls,130,1.75,3.5,10000,501,43.640092140311495
2sls,501,10000,STATIC,2sls,150,0.5,3.5,10000,501,2sls,150,0.5,3.5,10000,501,43.5706167826328
ols,501,10000,STATIC,ols,130,2.0,3.5,10000,501,ols,130,2.0,3.5,10000,501,43.44996897909953
2sls,501,10000,STATIC,2sls,130,2.25,3.5,10000,501,2sls,130,2.25,3.5,10000,501,43.35070987802655
ols,501,10000,STATIC,ols,140,1.75,3.5,10000,501,ols,140,1.75,3.5,10000,501,43.316186233628954
ols,501,10000,STATIC,ols,140,1.75,4.0,10000,501,ols,140,1.75,4.0,10000,501,43.316186233628954
ols,501,10000,STATIC,ols,130,2.25,4.0,10000,501,ols,130,2.25,4.0,10000,501,43.30642241390849
ols,501,10000,STATIC,ols,130,2.25,3.5,10000,501,ols,130,2.25,3.5,10000,501,42.87966743361504
2sls,501,10000,STATIC,2sls,140,1.75,4.0,10000,501,2sls,140,1.75,4.0,10000,501,42.722372427525244
2sls,501,10000,STATIC,2sls,140,1.75,3.5,10000,501,2sls,140,1.75,3.5,10000,501,42.722372427525244
ols,501,10000,STATIC,ols,150,0.5,3.0,10000,501,ols,150,0.5,3.0,10000,501,42.67929674324318
2sls,501,10000,STATIC,2sls,130,2.0,4.0,10000,501,2sls,130,2.0,4.0,10000,501,42.422915188524414
ols,501,10000,STATIC,ols,150,0.75,4.0,10000,501,ols,150,0.75,4.0,10000,501,42.089479261306955
2sls,501,10000,STATIC,2sls,130,2.0,3.5,10000,501,2sls,130,2.0,3.5,10000,501,42.02767853992103
ols,501,10000,STATIC,ols,150,1.75,4.0,10000,501,ols,150,1.75,4.0,10000,501,41.92962506033167
ols,501,10000,STATIC,ols,130,1.75,4.0,10000,501,ols,130,1.75,4.0,10000,501,41.87952027749486
2sls,501,10000,STATIC,2sls,150,1.75,4.0,10000,501,2sls,150,1.75,4.0,10000,501,41.708808720329664
ols,501,10000,STATIC,ols,150,0.75,3.5,10000,501,ols,150,0.75,3.5,10000,501,41.6572048592899
2sls,501,10000,STATIC,2sls,150,0.5,3.0,10000,501,2sls,150,0.5,3.0,10000,501,41.59051404352658
ols,501,10000,STATIC,ols,150,1.75,3.5,10000,501,ols,150,1.75,3.5,10000,501,41.50439357890566
