ADAPTIVE_START_DAY,POSITION_SIZE,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,score
400,10000,120,0.5,4.0,110,0.75,3.5,42.144826201093586
400,10000,120,0.5,3.5,110,0.75,3.5,42.144826201093586
400,10000,150,1.0,3.5,110,0.75,3.5,41.29961494088939
400,10000,150,1.0,4.0,110,0.75,3.5,41.29961494088939
400,10000,120,0.5,3.5,110,0.75,3.0,39.86453089177281
400,10000,120,0.5,4.0,110,0.75,3.0,39.86453089177281
501,10000,120,0.5,4.0,110,0.75,3.5,39.51880133168539
501,10000,120,0.5,3.5,110,0.75,3.5,39.51880133168539
501,10000,150,1.0,4.0,110,0.75,3.5,39.250459081394816
501,10000,150,1.0,3.5,110,0.75,3.5,39.165905032722804
400,10000,120,0.5,3.5,110,1.25,3.5,39.06508394063544
400,10000,120,0.5,4.0,110,1.25,3.5,39.06508394063544
400,10000,150,1.0,4.0,110,0.75,3.0,39.0279162756182
400,10000,150,1.0,3.5,110,0.75,3.0,39.0279162756182
501,10000,120,0.5,3.5,110,0.75,3.0,38.64390859045057
501,10000,120,0.5,4.0,110,0.75,3.0,38.64390859045057
501,10000,150,1.0,4.0,110,0.75,3.0,38.37820562993107
501,10000,150,1.0,3.5,110,0.75,3.0,38.2936661303386
400,10000,150,1.0,4.0,110,1.25,3.5,37.70046186725853
400,10000,150,1.0,3.5,110,1.25,3.5,37.70046186725853
400,10000,120,1.0,4.0,110,0.75,3.5,37.64658269642868
400,10000,120,1.0,3.5,110,0.75,3.5,37.64658269642868
400,10000,150,0.5,4.0,110,0.75,3.5,37.12213819348416
400,10000,150,0.5,3.5,110,0.75,3.5,37.12213819348416
400,10000,120,0.5,3.5,110,1.25,3.0,36.78920844483126
400,10000,120,0.5,4.0,110,1.25,3.0,36.78920844483126
501,10000,120,1.0,3.5,110,0.75,3.5,35.85588638717283
501,10000,120,1.0,4.0,110,0.75,3.5,35.85588638717283
400,10000,150,1.0,3.5,110,1.25,3.0,35.4276421530613
400,10000,150,1.0,4.0,110,1.25,3.0,35.4276421530613
400,10000,120,1.0,3.5,110,0.75,3.0,35.379060723831586
400,10000,120,1.0,4.0,110,0.75,3.0,35.379060723831586
501,10000,120,0.5,4.0,110,1.25,3.5,35.294995289418694
501,10000,120,0.5,3.5,110,1.25,3.5,35.294995289418694
501,10000,150,0.5,4.0,110,0.75,3.5,35.22201422920803
501,10000,150,0.5,3.5,110,0.75,3.5,35.13774460048777
501,10000,120,1.0,3.5,110,0.75,3.0,34.98470466292991
501,10000,120,1.0,4.0,110,0.75,3.0,34.98470466292991
400,10000,150,0.5,3.5,110,0.75,3.0,34.78857920303802
400,10000,150,0.5,4.0,110,0.75,3.0,34.78857920303802
501,10000,120,0.5,3.5,110,1.25,3.0,34.39617210889314
501,10000,120,0.5,4.0,110,1.25,3.0,34.39617210889314
501,10000,150,0.5,4.0,110,0.75,3.0,34.34810123308027
501,10000,150,0.5,3.5,110,0.75,3.0,34.26384597053626
501,10000,150,1.0,4.0,110,1.25,3.5,34.251943432657775
