ADAPTIVE_START_DAY,POSITION_SIZE,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,score
301,10000,120,2.0,4.0,120,1.5,3.5,46.09394012777955
301,10000,120,2.0,4.0,120,1.5,4.0,46.09394012777955
301,10000,120,2.0,3.5,120,1.5,4.0,45.84987942658172
301,10000,120,2.0,3.5,120,1.5,3.5,45.84987942658172
301,10000,120,2.0,3.0,120,1.5,3.5,45.671295163500616
301,10000,120,2.0,3.0,120,1.5,4.0,45.671295163500616
401,10000,120,2.0,4.0,120,1.5,3.5,45.439513361794795
401,10000,120,2.0,4.0,120,1.5,4.0,45.439513361794795
401,10000,120,2.0,3.5,120,1.5,3.5,45.19608118845038
401,10000,120,2.0,3.5,120,1.5,4.0,45.19608118845038
401,10000,120,2.0,4.0,120,1.5,3.0,44.98731956058569
301,10000,120,2.0,4.0,120,1.5,3.0,44.96801892781235
401,10000,120,2.0,3.0,120,1.5,4.0,44.88164727663133
401,10000,120,2.0,3.0,120,1.5,3.5,44.88164727663133
401,10000,120,2.0,3.5,120,1.5,3.0,44.74400489502153
301,10000,120,2.0,3.5,120,1.5,3.0,44.72413607914933
501,10000,120,2.0,4.0,120,1.5,4.0,44.67671827294144
501,10000,120,2.0,4.0,120,1.5,3.5,44.67671827294144
301,10000,120,2.0,3.0,120,1.5,3.0,44.54544008299192
501,10000,120,2.0,3.5,120,1.5,4.0,44.434278495019896
501,10000,120,2.0,3.5,120,1.5,3.5,44.434278495019896
501,10000,120,2.0,4.0,120,1.5,3.0,44.26668199459752
501,10000,120,1.0,4.0,120,1.5,4.0,44.15253605751979
501,10000,120,1.0,4.0,120,1.5,3.5,44.15253605751979
501,10000,120,2.0,4.0,120,1.0,4.0,44.11639338301151
501,10000,120,2.0,4.0,120,1.0,3.5,44.11639338301151
