HEDGE_ESTIMATOR,ADAPTIVE_START_DAY,POSITION_SIZE,OPTIMIZATION_TARGET,STATIC_PARAMS.HEDGE_ESTIMATOR,STATIC_PARAMS.ZSCORE_LOOKBACK,STATIC_PARAMS.ENTRY_THRESHOLD,STATIC_PARAMS.STOP_LOSS_THRESHOLD,STATIC_PARAMS.POSITION_SIZE,STATIC_PARAMS.ADAPTIVE_START_DAY,ADAPTIVE_PARAMS.HEDGE_ESTIMATOR,ADAPTIVE_PARAMS.ZSCORE_LOOKBACK,ADAPTIVE_PARAMS.ENTRY_THRESHOLD,ADAPTIVE_PARAMS.STOP_LOSS_THRESHOLD,ADAPTIVE_PARAMS.POSITION_SIZE,ADAPTIVE_PARAMS.ADAPTIVE_START_DAY,score
ridge,501,10000,STATIC,ridge,150,0.5,4.0,10000,501,ridge,150,0.5,4.0,10000,501,45.09429096680499
ols,501,10000,STATIC,ols,150,0.5,4.0,10000,501,ols,150,0.5,4.0,10000,501,45.09116057209026
ridge,501,10000,STATIC,ridge,150,0.5,3.5,10000,501,ridge,150,0.5,3.5,10000,501,44.66053328075545
ols,501,10000,STATIC,ols,150,0.5,3.5,10000,501,ols,150,0.5,3.5,10000,501,44.657398225448745
lasso,501,10000,STATIC,lasso,150,0.5,4.0,10000,501,lasso,150,0.5,4.0,10000,501,44.45716531557866
lasso,501,10000,STATIC,lasso,150,0.5,3.5,10000,501,lasso,150,0.5,3.5,10000,501,44.02431465621484
bayesian,501,10000,STATIC,bayesian,130,2.0,4.0,10000,501,bayesian,130,2.0,4.0,10000,501,43.90900439415296
ridge,501,10000,STATIC,ridge,130,2.0,4.0,10000,501,ridge,130,2.0,4.0,10000,501,43.86167882822374
ols,501,10000,STATIC,ols,130,2.0,4.0,10000,501,ols,130,2.0,4.0,10000,501,43.860613432949044
bayesian,501,10000,STATIC,bayesian,130,2.0,3.5,10000,501,bayesian,130,2.0,3.5,10000,501,43.511362792192884
