TRADING_START_DAY,OU_LOOKBACK,RISK_AVERSION,POSITION_SIZE,score
600,450,0.15000000000000002,10000,74.77519688703319
600,500,0.2,10000,72.72754889767589
600,475,0.15000000000000002,10000,70.86633603572713
650,600,0.05,10000,70.5224355091053
600,450,0.2,10000,70.12149521441387
600,550,0.2,10000,68.36066901792518
600,550,0.05,10000,67.79639748360898
600,600,0.05,10000,66.91398015340339
650,450,0.15000000000000002,10000,66.78091274817153
650,550,0.2,10000,66.69600806159787
650,500,0.2,10000,66.3046473109903
600,500,0.15000000000000002,10000,65.4866062884216
650,475,0.15000000000000002,10000,65.15814185965905
600,525,0.05,10000,64.57299289368414
650,475,0.2,10000,64.14983339089805
600,475,0.2,10000,64.11021179945035
600,600,0.1,10000,63.64991820457023
650,450,0.2,10000,63.26798889367003
650,275,0.25,10000,62.68297286765189
650,375,0.2,10000,62.019807628070716
600,300,0.15000000000000002,10000,61.383392325836695
500,450,0.2,10000,60.550007315046386
600,525,0.2,10000,60.49668565596649
650,550,0.05,10000,60.23048952144602
600,525,0.15000000000000002,10000,60.123074928099534
600,275,0.15000000000000002,10000,60.040759674813714
600,550,0.15000000000000002,10000,59.934227825755876
650,525,0.05,10000,59.92852698549381
650,275,0.2,10000,59.85325395440348
650,450,0.25,10000,59.62232349943146
550,450,0.2,10000,59.18190683962179
600,575,0.15000000000000002,10000,59.12532634273187
600,550,0.1,10000,59.06672274244779
600,425,0.15000000000000002,10000,58.841753476035066
600,600,0.2,10000,58.46686629036897
600,575,0.2,10000,58.14810489410284
650,550,0.15000000000000002,10000,58.08751761931566
650,575,0.15000000000000002,10000,57.51991500815201
500,500,0.2,10000,57.488845227563885
500,475,0.05,10000,57.425808328191515
600,475,0.1,10000,57.20687492396641
600,525,0.1,10000,57.192416814656085
650,400,0.2,10000,56.900042301111384
600,600,0.15000000000000002,10000,56.72244715267287
550,500,0.2,10000,56.625545256555085
600,575,0.05,10000,56.377717815249035
650,600,0.1,10000,56.3109789597232
500,475,0.15000000000000002,10000,56.25285884927384
600,375,0.2,10000,56.18049891117168
600,575,0.1,10000,56.05822697930885
600,425,0.2,10000,55.802300215167534
450,450,0.2,10000,55.4324965334447
450,475,0.15000000000000002,10000,55.38821711715864
600,350,0.15000000000000002,10000,55.169510214609225
650,275,0.15000000000000002,10000,55.158956562196565
650,300,0.15000000000000002,10000,54.93183245884394
550,525,0.05,10000,54.55131200694004
550,275,0.2,10000,54.47176426712026
600,350,0.2,10000,54.336924315117194
600,475,0.3,10000,54.325702185977
600,575,0.25,10000,54.320990954848256
500,450,0.15000000000000002,10000,53.934001446723094
550,475,0.15000000000000002,10000,53.87864876767014
650,425,0.15000000000000002,10000,53.7081940629267
600,600,0.25,10000,53.70224296492505
650,600,0.2,10000,53.69348212968133
650,350,0.2,10000,53.61673498835975
500,450,0.05,10000,53.61352206721687
600,450,0.25,10000,53.47719942961361
650,600,0.15000000000000002,10000,53.05726104826725
600,500,0.05,10000,52.93755160057349
500,400,0.05,10000,52.93722172595029
650,525,0.15000000000000002,10000,52.77113048352317
600,450,0.05,10000,52.66527810450103
550,450,0.15000000000000002,10000,52.32977165703143
600,275,0.2,10000,52.257295314902905
500,500,0.1,10000,52.19907685507469
600,500,0.25,10000,52.15412339899083
500,475,0.2,10000,52.08493831885798
500,425,0.05,10000,51.84759430239102
550,550,0.05,10000,51.80336439048456
650,300,0.1,10000,51.66017510849193
500,350,0.15000000000000002,10000,51.62327963354715
650,300,0.05,10000,51.603908712425884
550,475,0.2,10000,51.533103262003436
600,350,0.3,10000,51.52917959661421
600,500,0.1,10000,51.50341405523094
650,350,0.15000000000000002,10000,51.48267242278425
650,450,0.05,10000,51.410528700864994
600,475,0.35000000000000003,10000,51.34154112015711
650,475,0.3,10000,51.190364551863055
600,525,0.25,10000,50.923942483120406
650,450,0.3,10000,50.904281623189
600,300,0.1,10000,50.673906177460324
650,500,0.05,10000,50.60377394255259
500,475,0.1,10000,50.585896320648864
600,325,0.15000000000000002,10000,50.47897689321555
550,525,0.1,10000,50.333842481317156
650,250,0.25,10000,50.26318072312275
650,575,0.2,10000,50.23875756818705
600,475,0.05,10000,50.19267747098637
500,500,0.15000000000000002,10000,50.184968565100895
600,450,0.3,10000,50.16162237361641
650,475,0.05,10000,49.903890714714265
600,400,0.2,10000,49.86922362872462
650,550,0.1,10000,49.84287206666158
450,450,0.15000000000000002,10000,49.8283462953625
600,400,0.25,10000,49.76292460842636
650,500,0.15000000000000002,10000,49.72896584967496
600,375,0.25,10000,49.67577516659495
550,550,0.2,10000,49.62938891476364
650,575,0.05,10000,49.51542331117469
650,475,0.1,10000,49.3913857580207
600,400,0.05,10000,49.19982091383786
500,425,0.2,10000,49.019815082448964
550,500,0.15000000000000002,10000,48.895287897275104
600,275,0.1,10000,48.87829978703315
600,275,0.25,10000,48.81873095207571
550,475,0.05,10000,48.60251122292578
600,400,0.15000000000000002,10000,48.60087804472243
650,400,0.25,10000,48.578597709361105
450,475,0.05,10000,48.44491901735954
550,275,0.15000000000000002,10000,48.27477514376765
600,450,0.1,10000,48.118079920200955
650,275,0.3,10000,48.0005421526656
500,275,0.2,10000,47.870736968325346
650,575,0.1,10000,47.853529511272306
600,350,0.1,10000,47.82234606703869
600,425,0.25,10000,47.80288643140406
550,500,0.1,10000,47.740071068165214
550,525,0.2,10000,47.596415563115535
550,350,0.2,10000,47.50579040439717
500,425,0.15000000000000002,10000,47.313746327362814
500,500,0.05,10000,47.151203117122996
450,475,0.2,10000,47.06910289797214
650,400,0.05,10000,47.068710602758436
600,425,0.35000000000000003,10000,46.889985300902495
550,525,0.15000000000000002,10000,46.8729996301706
550,475,0.3,10000,46.84689223170016
450,425,0.2,10000,46.790953080963774
600,550,0.25,10000,46.76770657493488
400,425,0.2,10000,46.762387908265644
650,275,0.1,10000,46.75129767531387
550,375,0.2,10000,46.7368356377653
550,550,0.15000000000000002,10000,46.42614915579179
650,525,0.2,10000,46.37660165315646
550,475,0.1,10000,46.225298423397014
600,275,0.3,10000,46.176114155464475
550,600,0.05,10000,45.986585684858525
650,350,0.1,10000,45.75201902454853
650,400,0.15000000000000002,10000,45.731107829688426
450,425,0.15000000000000002,10000,45.71895350566531
500,350,0.2,10000,45.6875264737306
650,425,0.2,10000,45.675200116171666
500,525,0.05,10000,45.62662771944088
550,475,0.35000000000000003,10000,45.55093964875252
550,550,0.1,10000,45.48655896669515
550,400,0.05,10000,45.2779313845268
400,475,0.15000000000000002,10000,45.23045538913664
450,500,0.2,10000,45.229390361046285
400,450,0.2,10000,45.18049270518125
500,425,0.1,10000,45.13647906365397
500,500,0.25,10000,45.12378031713602
650,300,0.25,10000,45.01115064441257
550,450,0.05,10000,45.002526588237345
550,350,0.3,10000,44.98090575380674
600,375,0.15000000000000002,10000,44.98049779024286
450,450,0.05,10000,44.83788561037699
600,425,0.1,10000,44.75867106376129
600,300,0.05,10000,44.656504645814806
550,300,0.15000000000000002,10000,44.609437612875894
450,475,0.1,10000,44.59431869151519
550,425,0.2,10000,44.369933731762
650,375,0.15000000000000002,10000,43.98079763016233
400,425,0.15000000000000002,10000,43.91224512350876
550,500,0.25,10000,43.86520928469615
550,600,0.1,10000,43.86233144227022
600,350,0.35000000000000003,10000,43.74073739787417
550,425,0.15000000000000002,10000,43.69196423939983
650,350,0.3,10000,43.6693585954056
500,375,0.2,10000,43.602853029786694
650,325,0.15000000000000002,10000,43.600864836297106
500,375,0.15000000000000002,10000,43.49847129692461
600,400,0.3,10000,43.496382410149934
550,500,0.05,10000,43.402573790792644
650,200,0.1,10000,43.273580793694805
600,425,0.4,10000,43.24925424986575
400,350,0.2,10000,43.14014195447305
500,525,0.1,10000,43.07331986278871
600,400,0.1,10000,43.03234418268939
450,425,0.05,10000,42.94363675005199
550,350,0.15000000000000002,10000,42.86377437979975
650,500,0.25,10000,42.855430636368844
400,375,0.2,10000,42.66410531007764
450,450,0.25,10000,42.62237687920084
400,350,0.15000000000000002,10000,42.5975050092423
550,450,0.3,10000,42.44765480008691
650,475,0.35000000000000003,10000,42.41798183299623
650,425,0.25,10000,42.35155965355019
550,525,0.25,10000,42.32837498513229
500,325,0.15000000000000002,10000,42.290106609333804
400,350,0.3,10000,42.244910375395875
600,475,0.25,10000,42.22005882231513
550,275,0.25,10000,42.19263832615369
600,325,0.25,10000,42.14943942058427
550,450,0.25,10000,42.11221234549659
500,525,0.2,10000,41.97254980359989
550,300,0.25,10000,41.94361731709031
650,225,0.15000000000000002,10000,41.819437883363186
450,400,0.05,10000,41.791938383036324
650,525,0.1,10000,41.59598833463368
650,300,0.2,10000,41.549924707330725
500,400,0.2,10000,41.41321659166764
650,450,0.1,10000,41.39276505115054
650,325,0.3,10000,41.27209604155268
400,425,0.25,10000,41.24367098864056
600,425,0.05,10000,41.207386818582016
400,425,0.05,10000,41.192542902858406
400,400,0.2,10000,41.16461479710083
400,400,0.25,10000,41.11628386899993
450,350,0.15000000000000002,10000,41.07548070092767
550,425,0.25,10000,40.9744444213068
500,300,0.15000000000000002,10000,40.94469635451909
500,525,0.15000000000000002,10000,40.82365545082666
650,425,0.35000000000000003,10000,40.82161005750372
650,475,0.25,10000,40.81639202409619
650,400,0.3,10000,40.81591319951106
500,400,0.15000000000000002,10000,40.74755015275463
450,500,0.1,10000,40.512274399944346
400,275,0.2,10000,40.44663030441493
550,600,0.2,10000,40.38175976517065
400,450,0.15000000000000002,10000,40.371575267074135
450,300,0.15000000000000002,10000,40.3480845951447
650,425,0.1,10000,40.217791948173236
550,325,0.3,10000,40.05520276317067
600,250,0.25,10000,39.98511661056154
600,375,0.1,10000,39.90778218709759
500,450,0.25,10000,39.893914483575415
550,425,0.05,10000,39.808444557503314
650,250,0.1,10000,39.76363726776213
450,375,0.2,10000,39.72835237254013
450,275,0.2,10000,39.720182569295076
550,400,0.2,10000,39.68616636260217
450,350,0.2,10000,39.68398632680664
550,550,0.25,10000,39.64726976125348
450,425,0.1,10000,39.601368724827154
500,425,0.25,10000,39.5968625706587
600,375,0.3,10000,39.56656195472503
500,450,0.1,10000,39.56075220481889
550,375,0.25,10000,39.51793818545994
500,400,0.3,10000,39.49068167585925
600,425,0.3,10000,39.43218009099131
400,375,0.25,10000,39.36987846989659
650,575,0.25,10000,39.26055227410649
400,475,0.05,10000,39.060972691439005
450,500,0.15000000000000002,10000,39.03064849856882
600,325,0.1,10000,39.00660505427495
550,425,0.1,10000,39.00359584430404
350,425,0.2,10000,38.9648087194135
400,400,0.05,10000,38.956452021598345
550,600,0.15000000000000002,10000,38.91070280992346
600,450,0.35000000000000003,10000,38.83791376057594
650,250,0.15000000000000002,10000,38.78898340232555
600,350,0.4,10000,38.70636604781151
500,375,0.1,10000,38.5876309519335
550,400,0.15000000000000002,10000,38.58090866816854
600,600,0.35000000000000003,10000,38.57549379294717
400,400,0.3,10000,38.5445200458134
550,425,0.35000000000000003,10000,38.502053298625185
550,325,0.15000000000000002,10000,38.45368920511615
650,275,0.05,10000,38.44304285953256
400,375,0.15000000000000002,10000,38.43814793304961
600,325,0.2,10000,38.41995054392546
550,575,0.15000000000000002,10000,38.3902542649669
400,400,0.15000000000000002,10000,38.254617875886076
450,425,0.25,10000,38.21078705953741
500,375,0.05,10000,38.192316943010695
400,475,0.2,10000,38.18294466939885
500,550,0.05,10000,38.1390613116625
500,375,0.25,10000,38.13822771759735
400,325,0.2,10000,38.137110148332276
450,325,0.15000000000000002,10000,38.127473039421936
500,425,0.35000000000000003,10000,38.05193915147095
500,350,0.1,10000,38.01868409959759
500,275,0.3,10000,37.99439743184206
400,425,0.1,10000,37.90810144274804
600,350,0.25,10000,37.89289383294748
400,325,0.15000000000000002,10000,37.88306858631771
650,600,0.25,10000,37.88038754028592
400,325,0.3,10000,37.825503407713555
650,325,0.25,10000,37.81963193212452
600,375,0.35000000000000003,10000,37.80462316333009
650,200,0.05,10000,37.79677272165386
350,475,0.15000000000000002,10000,37.75166617451015
500,475,0.3,10000,37.708946525129186
600,550,0.35000000000000003,10000,37.65735170816076
600,300,0.25,10000,37.65232799572949
350,450,0.2,10000,37.636159052151
500,400,0.25,10000,37.43598678676394
600,525,0.35000000000000003,10000,37.40203784285673
500,475,0.35000000000000003,10000,37.37551035920896
450,400,0.2,10000,37.35492975259171
600,250,0.1,10000,37.308068670964026
550,250,0.15000000000000002,10000,37.25526470569933
500,325,0.25,10000,37.23297757486963
550,350,0.35000000000000003,10000,37.07415508368197
650,225,0.2,10000,37.06232864791521
500,325,0.3,10000,37.05305777111607
550,600,0.25,10000,36.983740126503825
600,275,0.05,10000,36.95261854031508
550,300,0.2,10000,36.90244952613537
650,250,0.2,10000,36.90028652213764
550,575,0.05,10000,36.846075235992195
600,600,0.3,10000,36.84420428560479
500,550,0.2,10000,36.80757793039046
500,450,0.3,10000,36.78986541779089
650,500,0.1,10000,36.72467320604563
650,400,0.1,10000,36.675365906195374
500,275,0.15000000000000002,10000,36.66226266798553
400,500,0.2,10000,36.66061281127308
550,400,0.3,10000,36.6083576566066
450,400,0.25,10000,36.58894451497443
550,375,0.1,10000,36.53129859129039
550,450,0.1,10000,36.5230055473436
550,575,0.25,10000,36.4559765749848
500,300,0.25,10000,36.37990963261388
350,425,0.15000000000000002,10000,36.377095539456334
550,575,0.2,10000,36.346238494473425
450,375,0.15000000000000002,10000,36.327222240431986
500,350,0.3,10000,36.31872325075156
450,500,0.05,10000,36.26934546313004
400,400,0.35000000000000003,10000,36.175405626880604
400,275,0.3,10000,36.13600721367623
400,300,0.25,10000,36.07261944538593
650,425,0.3,10000,35.90417833329134
400,475,0.1,10000,35.88101591253087
400,450,0.05,10000,35.87254548585212
450,475,0.25,10000,35.74117713127765
600,525,0.3,10000,35.73640211268766
550,375,0.15000000000000002,10000,35.70822564916062
400,325,0.25,10000,35.66874551666429
400,325,0.4,10000,35.62147310310115
500,525,0.25,10000,35.584505580633525
550,275,0.1,10000,35.55922962287948
650,375,0.25,10000,35.53884430460211
400,325,0.35000000000000003,10000,35.47086540660558
650,425,0.05,10000,35.45086020266039
500,350,0.25,10000,35.35862775219225
600,325,0.3,10000,35.349903497762995
550,275,0.3,10000,35.32968682145119
500,325,0.2,10000,35.319169524389665
500,400,0.1,10000,35.30137505140138
550,450,0.35000000000000003,10000,35.287156881632214
450,525,0.05,10000,35.256268688458874
550,300,0.3,10000,35.254193941039446
450,500,0.25,10000,35.252404423959575
550,500,0.35000000000000003,10000,35.12808364302538
550,350,0.25,10000,34.998353617300495
650,250,0.05,10000,34.97685766781194
400,350,0.35000000000000003,10000,34.94031990892164
600,350,0.05,10000,34.92097263986029
550,475,0.25,10000,34.905914566675946
550,525,0.35000000000000003,10000,34.81285322207746
400,375,0.05,10000,34.76480154018553
550,325,0.25,10000,34.73723457069319
650,350,0.05,10000,34.68901340503624
500,300,0.2,10000,34.647445594043845
400,450,0.25,10000,34.555172416924
450,275,0.3,10000,34.48942605604992
550,350,0.1,10000,34.472165464345196
400,275,0.25,10000,34.42627630364446
650,300,0.3,10000,34.36030804140122
350,425,0.25,10000,34.351597556534884
450,375,0.25,10000,34.33696698527372
450,375,0.05,10000,34.33416817203438
650,325,0.1,10000,34.310141474594765
450,275,0.15000000000000002,10000,34.15496881438582
550,400,0.25,10000,34.11673546686581
500,550,0.15000000000000002,10000,34.071444559680366
350,400,0.25,10000,34.05866772285534
