transition_day,position_size,static_params.ZSCORE_LOOKBACK,static_params.ENTRY_THRESHOLD,static_params.STOP_LOSS_THRESHOLD,adaptive_params.OU_LOOKBACK,adaptive_params.RISK_AVERSION,score
651,10000,150,0.5,4.0,460,0.15,81.75514590681958
601,10000,150,0.5,4.0,490,0.2,79.13613911908648
601,10000,150,0.5,4.0,530,0.2,79.10791309365328
601,10000,150,0.5,4.0,500,0.2,78.83530294270808
601,10000,150,0.5,4.0,550,0.2,78.379949965141
601,10000,150,0.5,4.0,460,0.15,77.88414988088093
601,10000,150,0.5,4.0,560,0.2,77.47387788924236
601,10000,150,0.5,4.0,450,0.15,76.36095820212961
601,10000,150,0.5,4.0,520,0.15,76.30057694929368
601,10000,150,0.5,4.0,590,0.15,73.88450948840483
601,10000,150,0.5,4.0,530,0.15,73.81472519079037
601,10000,150,0.5,4.0,450,0.2,73.34245510662598
651,10000,150,0.5,4.0,450,0.15,72.63181866954886
601,10000,150,0.5,4.0,510,0.2,72.0617504320432
601,10000,150,0.5,4.0,480,0.15,71.03710236057742
651,10000,150,0.5,4.0,360,0.2,70.31723770688743
601,10000,150,0.5,4.0,490,0.1,70.15450480103871
601,10000,150,0.5,4.0,550,0.15,69.90165328116228
601,10000,150,0.5,4.0,570,0.2,69.62195819812776
601,10000,150,0.5,4.0,580,0.2,69.56557837237033
601,10000,150,0.5,4.0,480,0.2,69.33795104902974
601,10000,150,0.5,4.0,560,0.15,69.31158620024176
601,10000,150,0.5,4.0,570,0.15,68.99653344690041
601,10000,150,0.5,4.0,530,0.1,68.80109873452543
601,10000,150,0.5,4.0,540,0.15,68.70931205569188
601,10000,150,0.5,4.0,540,0.1,68.5280995447815
601,10000,150,0.5,4.0,450,0.25,68.5245945633592
601,10000,150,0.5,4.0,520,0.2,68.4496037593838
601,10000,150,0.5,4.0,470,0.3,68.07089434982483
601,10000,150,0.5,4.0,480,0.3,67.92030805389587
601,10000,150,0.5,4.0,580,0.15,67.90986244034143
651,10000,150,0.5,4.0,370,0.2,67.76656479782261
651,10000,150,0.5,4.0,460,0.1,67.7104971811076
601,10000,150,0.5,4.0,540,0.25,67.70036147742084
651,10000,150,0.5,4.0,550,0.2,67.51055260218138
601,10000,150,0.5,4.0,510,0.15,67.16113091847939
601,10000,150,0.5,4.0,490,0.3,67.09387511717138
601,10000,150,0.5,4.0,570,0.25,67.00745468700212
651,10000,150,0.5,4.0,480,0.15,66.96979285301686
601,10000,150,0.5,4.0,480,0.1,66.936480095456
601,10000,150,0.5,4.0,450,0.3,66.91585194137124
651,10000,150,0.5,4.0,410,0.25,66.60895241680463
651,10000,150,0.5,4.0,480,0.25,66.39287617035694
601,10000,150,0.5,4.0,480,0.25,66.21450009594224
651,10000,150,0.5,4.0,480,0.1,66.2123732589605
601,10000,150,0.5,4.0,590,0.2,65.97649076198115
601,10000,150,0.5,4.0,480,0.35,65.90321231884738
601,10000,150,0.5,4.0,440,0.15,65.71987906663418
601,10000,150,0.5,4.0,580,0.25,65.68277581802373
601,10000,150,0.5,4.0,410,0.25,65.66693272489098
